Year,Geno,Row,Plant,WR,Root,Ratio,ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc2,MinorThicc2,K,BL,UL,MOI,E_MPa,E_GPa,MOI_AH,E_GPa_AH,MajorD_AH,MajorD_cm,MinorD_AH,MajorT_AH,MinorT_AH
2019,B73,1391,3,BWR,1,0.647027,0.051,0.076,2.415,2.933,5.866,4.83,2.857,2.364,71.0019,13.90337,15.97305,32.44541621,223.9866569,0.223986657,32.44541621,0.223986657,5.866,0.5866,4.83,2.857,2.364
2019,B73,1391,4,BWR,1,0.721172,0.067,0.07,2.363,2.947,5.894,4.726,2.877,2.296,58.86592,10.00445,12.38714,30.53944794,197.2914572,0.197291457,30.53944794,0.197291457,5.894,0.5894,4.726,2.877,2.296
2019,B73,1391,5,BWR,1,0.843415,0.064,0.083,2.828,3.163,6.326,5.656,3.08,2.764,117.89217,19.12243,20.79028,56.18589311,214.7648484,0.214764848,56.18589311,0.214764848,6.326,0.6326,5.656,3.08,2.764
2019,B73,1391,6,BWR,1,0.706493,0.042,0.062,1.794,2.533,5.066,3.588,2.471,1.752,69.01143,5.07359,10.59183,11.48662353,614.9420143,0.614942014,11.48662353,0.614942014,5.066,0.5066,3.588,2.471,1.752
2019,B73,1391,6,BWR,2,0.706493,0.047,0.071,2.224,2.773,5.546,4.448,2.702,2.177,61.85067,9.02468,11.80266,23.95764358,264.2444263,0.264244426,23.95764358,0.264244426,5.546,0.5546,4.448,2.702,2.177
2019,B73,1391,8,BWR,1,0.854741,0.027,0.056,1.123,2.118,4.236,2.246,2.062,1.096,145.33848,3.32617,9.23946,2.355890527,6314.38466,6.31438466,2.355890527,6.31438466,4.236,0.4236,2.246,2.062,1.096
2019,Oh43,1267,1,BWR,2,0.705426,0.295,1.105,1.152,2.126,4.252,2.304,1.021,0.857,58.95902,3.88702,8.52615,2.552763484,2363.987654,2.363987654,2.552763484,2.363987654,4.252,0.4252,2.304,1.021,0.857
2019,Oh43,1267,1,BWR,3,0.705426,0.494,1.106,1.197,1.902,3.804,2.394,0.796,0.703,60.94955,2.60351,8.03993,2.562021944,2434.96759,2.43496759,2.562021944,2.43496759,3.804,0.3804,2.394,0.796,0.703
2019,Oh43,1267,2,BWR,1,0.60302,1.318,1.552,2.557,2.669,5.338,5.114,1.117,1.239,126.75847,18.87944,23.55839,35.04536917,370.21318,0.37021318,35.04536917,0.37021318,5.338,0.5338,5.114,1.117,1.239
2019,Oh43,1267,2,BWR,2,0.60302,0.922,1.64,1.96,2.663,5.326,3.92,1.023,1.038,132.72379,23.22586,26.24426,15.74813981,862.6309572,0.862630957,15.74813981,0.862630957,5.326,0.5326,3.92,1.023,1.038
