Geno,ShootSqPixel,In^2,cm^2
B73,12533,501.32,3278.6328
B73,10864,434.56,2842.0224
B73,10885,435.4,2847.516
W64A,16052,642.08,4199.2032
W64A,14109,564.36,3690.9144
W64A,10346,413.84,2706.5136
W64A,8682,347.28,2271.2112
W64A,10459,418.36,2736.0744
W64A,11379,455.16,2976.7464
Hp301,7386,295.44,1932.1776
Hp301,7743,309.72,2025.5688
Hp301,12280,491.2,3212.448
Hp301,12543,501.72,3281.2488
Hp301,9097,363.88,2379.7752
Hp301,8755,350.2,2290.308
Hickory King,21463,858.52,5614.7208
Hickory King,16686,667.44,4365.0576
Hickory King,18474,738.96,4832.7984
Hickory King,19704,788.16,5154.5664
Hickory King,23305,932.2,6096.588
Ky21,20696,827.84,5414.0736
Ky21,15656,626.24,4095.6096
Ky21,16323,652.92,4270.0968
Ky21,15649,625.96,4093.7784
Ky21,14199,567.96,3714.4584
Ky21,11260,450.4,2945.616
